facility_code,facility_name,network_id,network_region,latitude,longitude,unit_code,unit_code_display,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,max_generation,registered_date,expected_closure_date,data_first_seen,data_last_seen
ADP,Adelaide Desalination,NEM,SA1,-35.096948,138.484061,ADPBA1,ADPBA1,battery,operating,7.76,6.15,12.6,6.645,,2040-12-31T14:00:00+08:00,2024-09-18T10:40:00+08:00,2026-07-31T06:15:00+08:00
ADP,Adelaide Desalination,NEM,SA1,-35.096948,138.484061,ADPPV1,ADPPV1,solar_utility,operating,24.75,19,,20.433,,2040-12-31T14:00:00+08:00,2021-05-18T13:10:00+08:00,2026-07-27T10:05:00+08:00
ADP,Adelaide Desalination,NEM,SA1,-35.096948,138.484061,ADPPV2,ADPPV2,solar_utility,operating,0.2,0.2,,,,2040-12-31T14:00:00Z,,
ADP,Adelaide Desalination,NEM,SA1,-35.096948,138.484061,ADPPV3,ADPPV3,solar_utility,operating,0.02,0.02,,,,2049-12-31T14:00:00Z,,
ADP,Adelaide Desalination,NEM,SA1,-35.096948,138.484061,ADPMH1,ADPMH1,hydro,operating,1.44,1,,,,2049-12-31T14:00:00Z,,
ALBANY,Albany,WEM,WEM,-35.065835,117.797506,ALBANY_WF1,ALBANY_WF1,wind,operating,21.6,21.6,,21.001,,2040-12-31T16:00:00+10:00,2013-12-18T08:00:00+10:00,2026-08-01T14:15:00+10:00
ALDGASF,Aldoga,NEM,QLD1,-23.839544,151.0849,ALDGASF1,ALDGASF1,solar_utility,operating,535.21,387,,392.8883,,2055-12-31T14:00:00+08:00,2025-03-21T15:05:00+08:00,2026-08-01T16:20:00+08:00
ANGASTON,Angaston,NEM,SA1,-34.503389,139.02458,ANGAST1,ANGAST1,distillate,operating,50,50,,50.6,,2069-12-31T14:00:00+08:00,2016-05-27T12:10:00+08:00,2026-07-14T21:05:00+08:00
APPIN,Appin,NEM,NSW1,-34.210868,150.792711,APPIN,APPIN,gas_wcmg,operating,55.6,55,,,,2035-12-31T14:00:00Z,,
ARWF,Ararat,NEM,VIC1,-37.263393,143.082116,ARWF1,ARWF1,wind,operating,241.59,241,,237,,2046-12-31T14:00:00+10:00,2016-08-19T10:35:00+10:00,2026-08-01T16:20:00+10:00
AVLSF,Avonlie,NEM,NSW1,-34.913826,146.590545,AVLSF1,AVLSF1,solar_utility,operating,254.1,190,,190.0565,,2057-12-31T14:00:00+10:00,2023-03-28T13:25:00+10:00,2026-08-01T16:20:00+10:00
BADGINGARRA,Badgingarra,WEM,WEM,-30.439924,115.324045,BADGINGARRA_WF1,BADGINGARRA_WF1,wind,operating,130,130,,131.04,,,2019-01-14T14:00:00+10:00,2026-08-01T14:15:00+10:00
DEIBDL,Bairnsdale,NEM,VIC1,-37.842918,147.563855,BDL01,BDL01,gas_ocgt,operating,46,48,,48.32,,2041-12-31T14:00:00+10:00,2001-05-22T17:15:00+10:00,2026-07-31T23:15:00+10:00
DEIBDL,Bairnsdale,NEM,VIC1,-37.842918,147.563855,BDL02,BDL02,gas_ocgt,operating,46,48,,47.68,,2041-12-31T14:00:00+10:00,2001-12-20T17:25:00+10:00,2026-04-19T20:45:00+10:00
BAKING,Baking Board,NEM,QLD1,-26.720639,150.553781,BAKING1,BAKING1,solar_utility,operating,17.5,14,,,,2043-12-31T14:00:00Z,,
BHWF,Bald Hills,NEM,VIC1,-38.746897,145.949104,BALDHWF1,BALDHWF1,wind,operating,106.6,106,,105.928,,2039-12-31T14:00:00+10:00,2015-02-24T07:45:00+10:00,2026-08-01T15:40:00+10:00
BALBESS,Ballarat,NEM,VIC1,-37.567603,143.919894,BALB1,BALB1,battery,operating,30,30,30,30.35,,2032-12-31T14:00:00+10:00,2024-08-08T05:00:00+10:00,2026-08-01T14:20:00+10:00
